gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,7681,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,12,1,9.1058,flydsl_hgemm_abf16_wbf16_bf16_t128x128x64x2_ks1_w2x2x1_bias0_ktail0_gm4_pft_gfx950,0.0,221.13,1972.28
gfx950,256,31684,1024,512,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,40.1978,native,0.0,826.49,2447.44
gfx950,256,8,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,392,4,6.9811,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x9_ks4_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0125,19.23,2417.32
gfx950,256,162,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2875,1,7.5803,flydsl_hgemm_abf16_wbf16_bf16_t48x32x128x4_ks1_w1x2x2_bias0_ktail0_gm4_pft_gfx950,0.0031,134.46,983.16
gfx950,256,180,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2874,1,7.6795,flydsl_hgemm_abf16_wbf16_bf16_t48x32x128x5_ks1_w1x2x2_bias0_ktail0_gm0_pft_gfx950,0.0031,147.47,987.26
gfx950,256,186,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2874,1,7.7732,flydsl_hgemm_abf16_wbf16_bf16_t48x32x128x5_ks1_w1x2x2_bias0_ktail0_gm0_pft_gfx950,0.0031,150.54,980.9
gfx950,256,186,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,4,13.8601,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0115,225.15,1375.37
gfx950,256,204,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3714,2,14.4094,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x6_ks2_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0048,237.52,1338.29
gfx950,256,352,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2291,1,9.4927,flydsl_hgemm_abf16_wbf16_bf16_t48x64x128x3_ks1_w1x4x1_bias0_ktail0_gm4_pft_gfx950,0.0,233.29,928.57
gfx950,256,1242,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1312,1,33.9442,flydsl_hgemm_abf16_wbf16_bf16_t64x96x64x4_ks1_w1x2x1_bias0_ktail0_gm4_pft_gfx950,0.0,613.87,943.87
gfx950,256,2049,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,47.6225,native,0.0,721.85,881.0
gfx950,256,2306,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,49.92,native,0.0,775.01,903.71
gfx950,256,2308,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,49.7219,native,0.0,778.77,907.81
gfx950,256,2310,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,49.9083,native,0.0,776.53,904.91
gfx950,256,2316,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,49.0187,native,0.0,792.68,922.84
gfx950,256,2330,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,49.6587,native,0.0,787.19,914.41
gfx950,256,2332,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,49.4075,native,0.0,791.87,919.55
gfx950,256,2360,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,49.45,native,0.0,800.69,925.72
gfx950,256,2484,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,22.9667,native,0.0,680.46,1049.2
gfx950,256,2484,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,48.3174,native,0.0,862.52,978.96
gfx950,256,3072,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,opus,6402,0,56.8013,opus_gemm_mono_tile_512x192x128x64_2x4_16x16x32_0x0x0_nooob_4g_safe,0.0,907.37,959.94
gfx950,256,3462,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,17,1,29.1855,flydsl_hgemm_abf16_wbf16_bf16_t128x128x64x2_ks1_w2x2x1_bias0_ktail0_gm4_pht_gfx950,0.0,746.3,1065.84
gfx950,256,3585,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,16,1,29.9261,flydsl_hgemm_abf16_wbf16_bf16_t128x128x64x2_ks1_w2x2x1_bias0_ktail0_gm4_pft_gfx950,0.0,753.69,1068.92
gfx950,256,3630,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,22,1,30.2067,flydsl_hgemm_abf16_wbf16_bf16_t128x128x64x2_ks1_w2x4x1_bias0_ktail0_gm4_pft_gfx950,0.0,756.06,1069.67
gfx950,256,4096,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False,opus,6401,0,30.4531,opus_gemm_mono_tile_512x128x256x64_2x4_16x16x32_0x0x0_nooob_4g_safe,0.0,846.21,1170.7
gfx950,256,5126,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,39.8936,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,808.4,1078.74
gfx950,256,6426,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,44.9251,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,899.92,1165.34
gfx950,256,6426,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,95.2904,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1131.39,1004.72
gfx950,256,7220,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,46.3367,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,980.31,1252.67
gfx950,256,7220,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,100.6728,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1203.22,1047.92
gfx950,256,7226,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,46.3691,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,980.44,1252.72
gfx950,256,7226,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,100.04,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1211.84,1055.28
gfx950,256,7482,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,47.0843,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,999.75,1272.66
gfx950,256,7482,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,104.9962,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1195.54,1035.43
gfx950,256,186,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,19.5011,native,0.0,260.66,1543.15
gfx950,256,372,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1882,1,25.4235,flydsl_hgemm_abf16_wbf16_bf16_t96x64x64x4_ks1_w2x1x2_bias0_ktail0_gm0_pft_gfx950,0.0049,399.87,1292.42
gfx950,256,1242,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,49.5681,native,0.0,684.76,923.77
gfx950,256,7,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,139,1,5.2436,flydsl_hgemm_abf16_wbf16_bf16_t16x16x256x5_ks1_w1x1x2_bias0_ktail0_gm4_pft_gfx950,0.0034,16.8,2414.71
gfx950,256,7,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,121,1,5.9448,flydsl_hgemm_abf16_wbf16_bf16_t16x16x256x5_ks1_w1x1x2_bias0_ktail0_gm4_pft_gfx950,0.0038,19.76,2836.64
gfx950,256,8,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,134,1,5.2621,flydsl_hgemm_abf16_wbf16_bf16_t16x16x256x4_ks1_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0034,19.13,2408.36
gfx950,256,66,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1740,1,6.0052,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x6_ks1_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0,92.19,1509.43
gfx950,256,72,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1510,1,5.965,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks1_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,101.25,1529.91
gfx950,256,80,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1510,1,6.1061,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks1_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,109.9,1507.97
gfx950,256,84,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2110,1,6.2136,flydsl_hgemm_abf16_wbf16_bf16_t48x32x64x6_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,113.4,1488.47
gfx950,256,88,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1495,1,6.2762,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x7_ks1_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,117.62,1480.15
gfx950,256,90,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2122,1,6.3575,flydsl_hgemm_abf16_wbf16_bf16_t48x32x64x8_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,118.75,1464.44
gfx950,256,96,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2914,1,6.3372,flydsl_hgemm_abf16_wbf16_bf16_t64x32x64x6_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,127.08,1478.83
gfx950,256,104,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1572,1,6.5042,flydsl_hgemm_abf16_wbf16_bf16_t32x64x128x4_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,134.13,1453.46
gfx950,256,108,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1740,1,6.2271,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x6_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,145.49,1524.71
gfx950,256,112,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2884,1,6.4064,flydsl_hgemm_abf16_wbf16_bf16_t64x32x64x8_ks1_w4x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,146.65,1488.43
gfx950,256,114,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1782,1,6.3527,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x8_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,150.53,1504.24
gfx950,256,120,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1746,1,6.4053,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x6_ks1_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0,157.16,1501.48
gfx950,256,162,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1792,1,7.2741,flydsl_hgemm_abf16_wbf16_bf16_t48x64x128x3_ks1_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0,186.82,1381.27
gfx950,256,162,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2084,1,9.3665,flydsl_hgemm_abf16_wbf16_bf16_t48x64x128x3_ks1_w1x2x2_bias0_ktail0_gm4_pft_gfx950,0.0031,217.63,1538.21
gfx950,256,162,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1828,1,10.8787,flydsl_hgemm_abf16_wbf16_bf16_t48x64x128x4_ks1_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0,249.84,1725.19
