gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,184,6144,6144,ck,18,0,34.614,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,401.33,1188.54,0.0
gfx942,304,192,6144,3072,ck,18,0,16.0576,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,451.36,1359.08,0.0
gfx942,304,192,6144,6144,ck,18,0,31.899,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,454.42,1294.33,0.0
gfx942,304,200,6144,3072,ck,3,0,26.4947,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,284.95,828.33,0.0
gfx942,304,200,6144,4096,ck,2,0,34.806,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,289.21,817.18,0.0
gfx942,304,200,6144,6144,ck,2,0,48.6373,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,310.45,851.92,0.0
gfx942,304,208,6144,3072,ck,3,0,27.1969,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,288.7,811.46,0.0
gfx942,304,208,6144,6144,ck,3,0,50.0981,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,313.45,830.02,0.0
gfx942,304,216,6144,3072,ck,3,0,27.2941,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,298.74,813.07,0.0
gfx942,304,216,6144,4096,ck,3,0,36.3539,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,299.05,789.59,0.0
gfx942,304,216,6144,6144,ck,2,0,50.67,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,321.84,823.57,0.0
gfx942,304,224,6144,3072,ck,3,0,28.1483,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,300.4,792.77,0.0
gfx942,304,224,6144,6144,ck,3,0,52.4216,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,322.6,798.86,0.0
gfx942,304,232,6144,3072,ck,3,0,28.0969,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,311.7,798.59,0.0
gfx942,304,232,6144,4096,ck,3,0,38.4167,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,303.95,754.02,0.0
gfx942,304,232,6144,6144,ck,3,0,51.2589,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,341.7,819.86,0.0
