M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
208,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
208,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
208,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
208,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
208,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
208,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
216,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
216,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
216,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
216,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
216,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
216,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
216,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
216,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
216,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
224,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
224,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
224,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
224,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
224,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
224,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
224,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
224,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
224,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
232,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
232,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
232,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
232,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
232,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
232,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
232,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
232,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
